ID,Common Name,Length,Location,MP3 Link
XC228210,Blue-crowned Manakin,0:20,"Sao Gabriel da Cachoeira area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC228210-Blue-crowned%20Manakin%20B%209369.mp3
XC120096,Blue-crowned Manakin,0:49,"Manicoré, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC120096-Lepidothrix%20coronata_Careiro_1251.MP3
XC200163,Blue-crowned Manakin,0:42,"São Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC200163-PIPCOR03.mp3
XC119434,Blue-crowned Manakin,0:34,"Careiro, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119434-Pipra%20coronata1_Purupuru.mp3
XC504798,Black Manakin,0:25,"Mari Mari, Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504798-LS110987%20Black%20Manakin.mp3
XC395134,White-throated Manakin,0:13,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC395134-Corapipo%20gutturalis.mp3
XC119158,White-throated Manakin,0:55,"Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119158-Corapipo%20guturallis_Presidente%20Figueiredo.MP3
XC420084,Blue-backed Manakin,0:04,"AM-354, Km 18, Amazonas",https://xeno-canto.org/sounds/uploaded/CFRYARSVHN/XC420084-STE-056%20tangar%C3%A1%20falso%20xc.mp3
XC284909,Blue-backed Manakin,0:13,"Carauari, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC284909-Chiroxiphia%20pareola_Carauari_1753.mp3
XC200188,Blue-backed Manakin,0:04,"São Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC200188-CHIPAR33.mp3
XC505330,Blue-backed Manakin,0:55,"Manacapuru, Amazonas",https://xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC505330-190813_1381%20Chiroxiphia%20pareola%20regina.mp3
XC505035,Blue-backed Manakin,0:31,"Manacapuru, Amazonas",https://xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC505035-190812_1254%20Chiroxiphia%20pareola%20regina.wav
XC855252,Blue-backed Manakin,0:16,"Novo Airão, Amazonas",https://xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC855252-301548771.mp3
XC417485,Saffron-crested Tyrant-Manakin,0:29,"Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/DJHLXVSKSM/XC417485-fruxu%20do%20carrasco%201_mp3.mp3
XC504799,Saffron-crested Tyrant-Manakin,0:15,"Mari Mari, Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504799-LS110994%20Saffron-crested%20Tyrant%20Manakin.mp3
XC504797,Saffron-crested Tyrant-Manakin,0:17,"Mari Mari, Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504797-LS110986%20Saffron-crested%20Tyrant%20Manakin.mp3
XC494545,Saffron-crested Tyrant-Manakin,0:16,"Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494545-Icognita%20Talvez%20Abre%20asa%20%28Barranqueiro%20camurca%29%2031-7-2019%2017e9.mp3
